"account_id","transaction_type","amount","currency","device_id","location","created_at","is_fraud","fraud_score","metadata_json","fraud_pattern"
"ZW-EC-00189","p2p_transfer","75.29","USD","dev-68422","Chinhoyi","2026-02-25T18:26:03.701753+00:00","0","0.0559","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00012","cash_out","29.66","USD","dev-43341","Kitwe","2026-03-10T09:22:52.701753+00:00","0","0.0154","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00410","p2p_transfer","9.88","ZWL","dev-52847","Lusaka","2026-02-04T01:52:14.701753+00:00","0","0.084","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00221","p2p_transfer","29.29","ZWL","dev-34733","Bulawayo","2026-02-25T15:50:07.701753+00:00","0","0.151","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00109","cash_out","154.02","USD","dev-86369","Kitwe","2026-02-23T23:34:12.701753+00:00","0","0.1209","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00394","merchant_payment","12.43","ZWL","dev-28753","Kadoma","2026-03-10T00:12:45.701753+00:00","0","0.0649","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00027","bill_payment","67.3","ZWL","dev-60132","Bulawayo","2026-03-04T03:14:53.701753+00:00","0","0.0803","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00419","cash_out","75.61","USD","dev-20977","Masvingo","2026-03-02T20:20:48.701753+00:00","0","0.1241","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00291","merchant_payment","87.38","USD","dev-76923","Masvingo","2026-02-17T05:36:27.701753+00:00","0","0.1562","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00159","cash_in","32.83","USD","dev-35026","Kitwe","2026-02-22T16:27:23.701753+00:00","0","0.1721","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00391","bill_payment","41.5","USD","dev-45502","Masvingo","2026-03-14T23:32:08.701753+00:00","0","0.0325","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00262","cash_out","31.92","USD","dev-64307","Kitwe","2026-02-08T09:12:43.701753+00:00","0","0.0405","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00281","p2p_transfer","38.61","USD","dev-11122","Kwekwe","2026-02-23T13:06:18.701753+00:00","0","0.0659","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00382","p2p_transfer","64.94","USD","dev-83909","Kitwe","2026-02-13T09:46:12.701753+00:00","0","0.0685","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00045","cash_out","50.57","USD","dev-62294","Kitwe","2026-02-01T01:13:00.701753+00:00","0","0.1582","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00120","cash_out","38.93","USD","dev-38390","Kitwe","2026-02-18T02:53:57.701753+00:00","0","0.103","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00209","cash_out","90.48","ZWL","dev-98011","Gweru","2026-02-01T20:47:52.701753+00:00","0","0.1341","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00105","bill_payment","141.2","USD","dev-30931","Bulawayo","2026-02-16T09:29:55.701753+00:00","0","0.0439","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00400","p2p_transfer","62.79","ZWL","dev-17541","Masvingo","2026-02-14T19:22:49.701753+00:00","0","0.0197","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00331","p2p_transfer","222.94","ZWL","dev-28695","Kadoma","2026-02-12T23:49:01.701753+00:00","0","0.1075","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00251","p2p_transfer","79.73","USD","dev-33431","Chinhoyi","2026-02-19T16:53:20.701753+00:00","0","0.1377","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00010","bill_payment","121.55","USD","dev-13942","Masvingo","2026-02-09T11:22:41.701753+00:00","0","0.0998","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00189","p2p_transfer","81.04","USD","dev-68422","Chinhoyi","2026-02-21T21:03:55.701753+00:00","0","0.1721","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00029","merchant_payment","72.41","USD","dev-12044","Gweru","2026-03-07T13:00:09.701753+00:00","0","0.0921","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00002","bill_payment","192.82","ZWL","dev-72762","Harare","2026-02-09T22:21:48.701753+00:00","0","0.1127","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00002","p2p_transfer","162.28","USD","dev-72762","Harare","2026-02-22T07:00:46.701753+00:00","0","0.0178","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00371","bill_payment","59.84","USD","dev-64610","Kitwe","2026-03-09T11:34:25.701753+00:00","0","0.1612","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00173","bill_payment","5.74","ZWL","dev-38250","Kwekwe","2026-02-14T01:47:32.701753+00:00","0","0.1705","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00065","merchant_payment","87.14","USD","dev-21048","Harare","2026-02-15T01:08:46.701753+00:00","0","0.0717","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00378","p2p_transfer","63.0","ZWL","dev-56480","Harare","2026-01-31T20:08:54.701753+00:00","0","0.0807","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00050","p2p_transfer","4.66","USD","dev-56859","Chinhoyi","2026-02-09T02:49:35.701753+00:00","0","0.174","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00345","bill_payment","101.14","ZWL","dev-55803","Lusaka","2026-03-04T17:46:42.701753+00:00","0","0.0671","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00329","p2p_transfer","77.73","USD","dev-23758","Lusaka","2026-01-30T09:25:27.701753+00:00","0","0.1686","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00258","cash_out","598.8","USD","dev-61228","Chinhoyi","2026-02-12T00:12:53.701753+00:00","0","0.062","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00241","p2p_transfer","18.26","USD","dev-54056","Kwekwe","2026-02-06T02:34:20.701753+00:00","0","0.0973","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00220","cash_out","104.17","ZWL","dev-36904","Kitwe","2026-02-06T15:58:36.701753+00:00","0","0.1151","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
"ZW-EC-00235","cash_in","48.2","USD","dev-23989","Bulawayo","2026-02-28T20:18:27.701753+00:00","0","0.0623","{""source"": ""synthetic_generator"", ""fraud_pattern"": ""none"", ""seed"": 42}","none"
